4.4,-3.3
6,-5.6
0,-4.4
2.8,-1.1
5.6,0
7.8,1.1
7.2,2.8
8.9,1.7
9.4,3.9
8.3,4.4
7.8,2.8
8.3,5.6
10,6.1
13.3,3.3
3.3,1.7
2.8,0
6.1,1.7
1.7,-3.9
10.6,-1.1
11.7,-1.1
0,-3.3
-2.8,-10.6
-6.7,-11.7
-5.6,-11.1
-4.4,-10.6
-2.8,-9.4
1.1,-7.2
2.2,-1.7
9.4,2.2
15,3.9
16.1,-1.1
-6,-4.4
-1.7,-7.2
-1.1,-4.4
-1.1,-5
0,-2.2
3.9,-1.7
0,-3.3
1.1,-2.8
0,-6.1
2.2,-7.8
7.2,1.1
6.7,2.2
6.7,6
7.8,6
12.8,2.8
5,-6
0,-7.8
1.7,-8.3
9.4,6
3.3,-3.9
1.1,-4.4
3.3,-3.9
5.6,2.2
8.3,1.1
7.2,0
6.7,1.7
8.3,2.2
10.6,3.9
7.2,2.2
4.4,-6
4.4,-1.7
5.6,-2.8
9.4,-6
5.6,3.3
3.3,6
5.6,-6
12.8,1.7
10,2.2
12.2,4.4
13.9,6.1
11.1,3.3
5,-1.7
8.3,-1.1
5,0
3.3,-1.7
1.7,-2.2
6.1,6
7.2,0
4.4,-1.1
5,-2.2
7.8,0
8.3,6
4.4,2.2
11.7,2.8
11.7,2.2
10.6,2.8
12.8,4.4
15,4.4
12.2,6.7
16.7,2.8
6.1,6
7.8,6
11.7,6
17.8,5
11.1,1.7
12.8,4.4
22.8,10.6
27.8,10.6
23.3,12.8
15.6,8.3
8.3,5
14.4,5
13.9,7.8
15,6.7
17.2,8.3
21.7,12.8
15,10.6
21.7,12.8
15.6,6.1
12.8,2.8
12.8,5
11.7,5
20.6,6.7
18.9,7.8
19.4,10
21.7,8.9
20.6,10.6
13.9,11.1
20,10.6
20.6,8.3
22.2,9.4
18.9,9.4
20.6,8.9
17.8,7.8
20.6,7.8
23.3,11.1
17.2,12.8
20,12.2
26.1,15
21.1,16.1
21.1,10.6
14.4,7.2
16.1,5.6
20.6,11.1
26.1,16.7
22.2,14.4
18.3,13.3
15,12.8
26.1,14.4
30,20
25.6,15
26.7,17.8
18.3,7.2
12.2,7.2
18.9,8.9
22.8,10.6
20,13.3
27.8,14.4
32.2,22.2
32.2,23.9
32.2,22.8
31.1,20.6
25.6,18.9
23.9,13.9
23.3,14.4
21.1,15
17.2,15
25,13.9
26.7,17.2
21.1,16.7
26.7,17.8
24.4,18.3
20.6,12.8
22.2,11.7
26.7,16.1
26.7,18.3
28.9,20.6
28.9,17.8
25,15
26.7,16.7
27.8,17.8
28.9,18.3
31.1,21.1
33.3,23.3
32.8,22.8
29.4,23.3
30,22.8
29.4,22.8
28.3,21.7
30,22.8
25,22.2
27.8,22.2
28.3,22.8
30.6,23.9
32.2,24.4
33.3,25.6
33.3,25.6
31.7,22.8
31.1,23.3
29.4,23.9
28.9,24.4
25,20
27.2,19.4
32.2,23.3
34.4,25.6
34.4,25
36.1,26.1
36.7,27.2
35.6,28.3
33.9,27.2
31.7,24.4
30,23.9
30.6,22.8
28.3,20
20,17.8
28.3,18.3
27.8,21.1
25.6,21.1
29.4,20.6
28.3,19.4
28.3,19.4
24.4,18.9
28.3,19.4
25.6,20
26.7,18.9
25.6,16.7
27.8,17.8
26.7,21.1
27.2,21.1
29.4,23.3
28.3,21.1
27.2,18.3
27.8,21.1
25,20
23.3,16.1
25.6,15
27.8,17.8
28.9,17.8
24.4,20
26.1,18.9
31.1,20
32.2,22.2
25.6,21.7
27.8,21.7
26.7,18.3
28.3,17.8
28.9,20
30.6,21.7
30,21.7
26.7,21.7
29.4,21.1
30,22.8
28.9,23.9
27.8,23.3
27.8,20
27.8,18.3
26.7,17.8
22.2,13.9
26.7,15
28.3,17.8
22.8,13.9
30.6,20
35.6,25
30.6,21.1
25,15
19.4,12.2
22.8,10.6
22.8,13.3
18.3,10
22.2,10.6
25.6,12.8
26.1,15.6
25,16.1
20.6,12.2
18.9,10
22.8,8.3
22.8,11.1
21.7,14.4
20.6,13.9
22.8,13.3
22.2,13.9
23.9,13.3
27.8,15
28.3,17.8
25.6,17.2
30,18.9
24.4,17.8
21.1,18.3
24.4,15.6
19.4,12.2
16.7,11.7
18.3,12.2
20,15.6
22.2,15.6
18.3,13.3
18.9,11.1
22.2,11.7
19.4,13.3
22.8,16.1
20,12.8
17.8,11.1
17.2,10
18.9,10
19.4,10.6
12.8,7.2
12.2,5
11.7,4.4
12.8,5
14.4,7.8
16.1,6.1
13.3,6.7
15.6,8.3
18.9,11.7
21.1,15
20,12.8
12.8,2.8
7.8,1.7
12.8,5
16.1,9.4
17.8,6.7
10,4.4
10,3.3
16.1,6.7
11.7,6.1
11.1,-5
3.9,-1.6
11.1,6
13.9,6.7
15.6,7.2
15.6,10.6
18.3,10.6
10.6,2.2
6.7,0
11.1,1.7
13.9,10.6
12.2,-5
-10,-4.9
1.7,-4.9
8.3,6
16.7,1.7
1.7,-10
3.9,-1.6
3.9,-3.8
9.4,2.2
9.4,5
11.7,3.3
11.1,5
15.6,8.9
16.7,2.8
5,0
6,-1.6
3.9,-5
2.8,-10
6,-2.7
-10,-4.9
1.7,-4.9
1.1,-5.5
4.4,-10
6,-3.8
0,-4.3
2.8,-4.9
8.3,-10
11.7,5
18.3,10.6
21.7,16.1
17.8,5.6
5.6,-3.2
-5,-7.1
2.2,-10
4.4,-5
12.8,2.2
8.9,5
7.2,-4.9
0,-6
